State,Number With Current Asthma,Percent With Current Athsma,SE,Population Per Square Mile,Population,Land Area (mi^2),,,
Alabama,378702,9.6,0.59,101,5108468,50645,,,
Alaska,58742,10.7,0.58,1.3,733406,570641,,,
Arizona,555997,9.7,0.49,65,7431344,113594,,,
Arkansas,243032,10.5,0.57,59,3067732,52035,,,
California,2629546,8.7,0.39,250,38965193,155779,,,
Colorado,500090,10.8,0.43,57,5877610,103642,,,
Conneticut,356651,12.4,0.51,747,3617176,4842,,,
Deleware,78980,9.9,0.64,539,1031890,1949,,,
District of Columbia,60410,11.1,0.77,11131,678972,61,,,
Florida,1646583,9.3,0.53,422,22610726,53625,,,
Georgia,802783,9.6,0.48,192,11029227,57513,,,
Hawaii,103228,9.1,0.45,223,1435138,6423,,,
Idaho,161970,11.1,0.51,24,1964726,82643,,,
Illinois,856488,8.7,0.58,226,12549689,55519,,,
Indiana,574447,11,0.39,192,6862199,35826,,,
Iowa,238689,9.7,0.42,57,3207004,55857,,,
Kansas,237705,10.7,0.41,36,2940546,81759,,,
Kentucky,377365,10.8,0.68,115,4526154,39486,,,
Louisiana,351940,10,0.55,106,4573749,43204,,,
Maine,146031,13.1,0.52,45,1395722,30843,,,
Maryland,499134,10.4,0.38,637,6180253,9707,,,
Massechusetts,633126,11.3,0.43,898,7001399,7800,,,
Michigan,935666,11.9,0.44,178,10037261,56539,,,
Minesota,434473,9.9,0.32,72,5737915,79627,,,
Mississippi,211055,9.4,0.63,63,2939690,46923,,,
Misouri,497216,10.4,0.49,90,6196156,68742,,,
Montana,102617,11.7,0.51,7.8,1132812,145546,,,
Nebraska,121412,8.1,0.46,26,1978379,76824,,,
Nevada,251193,10.1,0.79,29,3194176,109781,,,
New Hampshire,148330,13.1,0.64,157,1402054,8953,,,
New Jersey,644536,8.9,0.43,1263,9290842,7354,,,
New Mexico,171212,10.4,0.62,17,2114371,121298,,,
New York,1611027,10.3,0.34,415,19571216,47126,,,
North Carolina,764909,9.2,0.62,223,10835491,48618,,,
North Dakota,61944,10.4,0.6,11,783926,69001,,,
Ohio,1042354,11.4,0.38,274,11785935,40861,,,
Oklahoma,373879,12.3,0.54,59,4053824,68595,,,
Oregon,389831,11.5,0.51,44,4233358,95988,,,
Pennslvania,1033741,10.1,0.67,290,12961683,44743,,,
Rhode Island,117252,13.3,0.64,1060,1095962,1034,,,
South Carolina,368883,9,0.4,179,5373555,30061,,,https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population_density
South Dakota,56630,8.3,0.75,12,919318,75811,,,
Tennesee,636322,11.7,0.61,173,7126489,41235,,,
Texas,1760654,7.9,0.37,117,30503301,261232,,,
Utah,266105,11,0.43,42,3417735,82170,,,
Vermont,68112,12.9,0.53,70,647464,9217,,,
Virginia,671051,9.9,0.46,221,8715698,39490,,,
Washington,667228,10.9,0.26,118,7812880,66456,,,
West Virginia,181395,12,0.61,74,1770071,24038,,,
Wisconsin,503318,10.9,0.42,109,5910955,54158,,,
Wyoming,46973,10.5,0.65,6,584057,97093,,,
Guam,7697,6.9,1.11,824,172952,210,,,
Puerto Rico,356422,12.2,0.61,936,3205691,3424,,,
Virgin Islands,6898,9.9,3.05,737,98750,134,,,
